approve_department,approve_number,approve_date,project_name,project_id,project_type,project_company,approve_result,approve_item
库车经济技术开发区发展改革委,2018002,"            				2018-01-29
            		",昊泰燃气安全检测及服务中心项目,"
                2018-652920-45-03-000408
                ","
                备案
                ","
                库车昊泰燃气管道有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809150252004,"            				2018-01-17
            		",  年处理20000吨废油回收再生综合利用生产线改扩建,"
                2018-650106-25-03-000423
                ","
                备案
                ","
                乌鲁木齐市隆成实业有限公司
                ",通过,县（市、区）属内资项目备案
博乐市发展和改革委员会,博市发改备【2018】3号,"            				2018-01-16
            		",博乐市金马物流园开发有限公司大型X光机采购建设项目,"
                2018-652701-58-03-000438
                ","
                备案
                ","
                博乐市金马物流园开发有限公司
                ",通过,县（市、区）属内资项目备案
阿拉山口市发展和改革委员会,阿市发改发〔2018〕2号,"            				2018-01-18
            		",阿拉山口市丝路风情小区项目,"
                2018-652702-47-01-000463
                ","
                审批
                ","
                阿拉山口市住房和城乡建设局
                ",通过,县（市、区）政府出资建设的项目建议书审批（党政机关及事业单位办公楼建设项目除外）
阿图什市发展和改革委员会,阿工管招【2018】001号,"            				2018-01-18
            		",阿图什市金叶面粉加工厂新建项目,"
                2018-653001-13-03-000473
                ","
                备案
                ","
                阿图什市金叶面粉有限责任公司
                ",通过,县（市、区）属内资项目备案
独山子区发展和改革委员会,克独发基〔2018〕2号,"            				2018-01-18
            		",独山子人民医院手术供应室扩建项目,"
                2018-650202-83-03-000481
                ","
                备案
                ","
                克拉玛依市独山子人民医院
                ",通过,县（市、区）属内资项目备案
独山子区发展和改革委员会,克独发基〔2018〕1号,"            				2018-01-18
            		",独山子人民医院影像介入及CCU扩建项目,"
                2018-650202-83-03-000486
                ","
                备案
                ","
                克拉玛依市独山子人民医院
                ",通过,县（市、区）属内资项目备案
白碱滩区发展和改革委员会,白发改备字[2018]2号,"            				2018-01-23
            		",克拉玛依沃森环保科技有限公司暂存库二期项目,"
                2018-650204-77-03-000495
                ","
                备案
                ","
                克拉玛依沃森环保科技有限公司
                ",通过,县（市、区）属内资项目备案
头屯河区发展和改革委员会,1809160441015,"            				2018-02-14
            		",2017年新疆康斯佳能源股份有限公司E网智慧城市供热系统工程万泰阳光城小区三期项目,"
                2018-650106-44-03-001162
                ","
                备案
                ","
                新疆康斯佳能源股份有限公司
                ",通过,县（市、区）属内资项目备案
温宿县发展和改革委员会,温备案（2018）002,"            				2018-01-19
            		",新疆子聪针织服饰有限公司温宿县年产100万件针织衫生产线项目,"
                2018-652922-18-03-000496
                ","
                备案
                ","
                新疆子聪针织服饰有限公司
                ",通过,县（市、区）属内资项目备案
